1,このような事が隠されることなく、きちんと報道して下さった事に感謝します。このような真実の報道が増える事を望みます。,2206,きたむらまゆみ,5
1-1,真実の報道なんて絶対しない。なぜならそういう仕組みになっているから。自分で調べて愕然とした。ショックだったけど、受け止めるしかない,0,yookesu1999
1-2,恐らくれからもっと増えるよ。,1,GENPAKU SUGITA
1-3,同意します,11,ukkari hatibei
1-4,2／17   ～【コロナ💉】開始4／中旬～《総死亡》↑↑　厚生労働省　💉副反応疑い報告　2／18開催  鈴木参考人資料より【コロナ💉】を凌駕し得る整合性の取れた要因が他に有るのでしょうか❓,27,漣 さざなみ
2,長尾先生は本当に頑張ってる。こういう先生に補助金出してほしいし、納得して税金払えるわ。,1665,競人,1
2-1,そこには出す。こんなとこへクラウドファウンディングしたい位やわ,5,mos
3,これが、本当の報道です。全国で流して欲しいです。外圧にまけないで、伝え続けてください。,1396,あみこ,12
3-1,イベルコーワが出来るようですよ。,3,あみこ
3-2,このコメントで3つめだけど見えてるよね？数ヶ月前から検閲がマシになってるな、逆に怖いけど,6,immorality
3-3,素晴らしい報道ですよね。勇気ある人々に敬意と感謝,14,ukkari hatibei
3-4,薬は一切接種しないほうがいい、,25,Q▽y
3-5,やっぱり,9,鳥好き
3-6,@95 塩野義製薬のバックに中国系企業の影!!,23,rosafoetida14
3-7,@kunpunogogatsu 日本企業だからといって信用しないほうがいいですよ。株価をみてください。便乗。,39,95
3-8,@95 たしか、外国で、治験したが、日本はまだまだかなあ？シオノギ製薬に、電話して聞いてみよう,6,kunpunogogatsu
3-9,@kunpunogogatsu シオノギも治験中である以上、使用する必要はない,31,95
4,一人でも多くの人に見てほしい番組です。,1206,izumi no,3
4-1,安全のために、接種しましょう❗,1,かいとさえこ
4-2,うつ病など色々な精神疾患で現れる症状に似ていますね！,11,山哲
4-3,長尾先生が今でもイベルメクチン投与治療をされているのか知りたいです！,13,山哲
5,いつの時代も薬害は後になってから。長尾先生のような現場を診ているお医者様がもっと報道に出るようになる事を願います。,3484,ブルブル,21
5-1,自分で考えて自分なりに調べてすら出来ず陰謀論ガー反ワクと侮辱し打たないの煽ってるのはやっぱ自分で考えず打っちゃったのかな,3,リヒリヒト
5-2,@とととみみみ どうせ途中で逃げ出しますよ。打たない人を馬鹿にするのは元気にするけど、危なくなったらすぐ逃げます。,5,さゆ
5-3,患者サイドも色んな情報を『自分で』集めて、自分で判断すべきですよテレビでは報道されない情報はネットにありますGoogleとかYahooは見れないけど、見れるところにはあります,12,mo mo
5-4,2／17   ～【コロナ💉】開始4／中旬～《総死亡》↑↑　厚生労働省　💉副反応疑い報告　2／18開催  鈴木参考人資料より【コロナ💉】を凌駕し得る整合性の取れた要因が他に有るのでしょうか❓,6,漣 さざなみ
5-5,@えなfam magu 超過死亡者数は本当に闇ですよね、、ある特定の死亡原因が増えてることも確認されていますね闇ですね〜,18,ケンケン賢者
5-6,どんどん打てばよいと思うし、打ちたいだけ打てばよいと思う、将来の薬の開発の役に立てます。自分は死ぬ覚悟で打たない方の実験参加中です。この先いろんな統計が出ると思うので、打たなかった人の末路、10回・20回と打ち続けた人がどうなるのかとても興味があります。皆様、実験頑張りましょう！,28,とととみみみ
5-7,長尾先生を見習って私たちも声をあげましょう。ブログを書くもよし、チラシを配るもよし。行動しないとね。,30,ひらぬー
5-8,長尾先生のような方が少ないので、様々な番組なので頼まれれば、ぜひ積極的に出ていただいて、発言していただきたいと強く思っています。,35,suzuki ran
5-9,長尾先生嫌われるかもしれませんが、人気の高いYouTubeやテレビ番組などでできるだけ批判されても、1人でも多くの人が救われると思うので、ぜひ時間が許せば,31,suzuki ran
5-10,薬害か死ぬどっちがいい？救われた分際で偉そうやな,8,がががガガガ
5-11,それじゃあ都合が悪いのですよ、各方面。残念！,51,ぼっちぼっち
5-12,しかしながら今回は署名させて「自己責任」で終わらせますから(・ิω・ิ),170,かなりかずき様と呼べ
6,長尾先生は本物の勇気と真心のある先生ですね。日本は残念ながら腐り切った利権医者の方が多い中、ありがたい存在です。,623,美月葉月,0
7,同じ意見の人がいっぱい居て安心。子供達は親達一般人が声を大にして拡散して守ってやりましょう,1126,動画なし,6
7-1,@肩金谷 大学卒業したらいいか？,0,ふつーのおばさん
7-2,@y oym お心遣いありがとうございます。本当に、人によって副作用の症状は様々ですね。政府が公開している症状別の統計データは、まったくあてになりません。,13,藤井俊輔
7-3,@藤井俊輔 改善することを祈っています。💉後に様々な症状が出るようですが、１ヶ月くらいで改善してくる方も多く見かけます。お大事にして下さい。,9,y oym
7-4,@Yoko Yamashiro 君、どうせ大した大学出てないでしょ😂ぷぷっ🤣,1,肩金谷
7-5,私はファイザー製ワクチン3回目接種後、手足のしびれ、痛みが2週間以上、現在まで続いています。私は39歳の成人ですが、この医師と同じ考え方で、子供たちには3回目接種はすべきでないと思います。,59,藤井俊輔
8,これを全国で流して欲しい,287,ハナミズキハナミズキ,0
9,これは価値ある報道　そして長尾先生に敬意,658,デンノル,0
10,長尾先生は２年前からコロナに対して真正面から向き合い、患者に寄り添って治療してしてくださっていますね。テレビに出ている専門家の方々の意見より信頼できます。,360,りか,0
11,正直な番組がこうして増えるとうれしい！,247,閑人のつぶやき,0
12,後遺症外来は、ほんとに必要だと思う。,253,あかいウラン,0
13,もっと特集してどんどん広めて下さい！,178,みにま,0
14,実際に起きている事を報道する番組と後遺症の患者さんがいることを伝える長尾医師の存在があることをユーチューブで知り安心いたしました。有り難いです。,137,mika,1

15,基礎疾患なし20代です。接種後、心不全となり熱も2ヶ月下がりませんでした。診断されるまで病院たらい回しです。半年たった今だいぶ動けるようになりましたが、仕事ができずでした。こういう事象が早く報道されるように願っています。,161,a KKT,1
15-1,あなたのような被害者が、どんどん発信して欲しいです❗愛知県では被害者の会が発足しています。,0,Hisako Yamaguchi
16,コロナ陽性で出かけてて、事故にあって事故死しても、コロナで死んだことにカウントされるのに、とにかく都合が良すぎる,9,Mk-ノスタルジア,0
17,長尾先生、そしてこれを取り上げてくれたサンテレビさんに救われた命があると思う  心ある医師やメディアが続く事を切に願います🙏,3,CoCo,0
18,手遅れになる前にどんどん報道して欲しい。,2300,工藤美仁,51
18-1,@kunpunogogatsu もっと多いと思います。,1,紅葉山
18-2,ここでも反ワクと警戒してる人、死んだ人を不侮辱してる動画見ましたよ、コメ欄も酷い物でしたならどんどん彼らの様な人物は毎年ブスブスブス年3回は打ってくれるでしょう,2,リヒリヒト
18-3,@rosafoetida14 米国の人口動態チェックしたほうがいいですよ。,3,TTT
18-4,一回も打ってないボキ。最初は色んな奴に打てと言われ肩身狭い思いしていたが今、高みの見物,19,a
18-5,俺は７０だが打ってない、今まで二年間出歩いていても何も無かった、俺の周りに沢山の未接種がいるがみんな元気だ。 接種しても死ぬ人が沢山いる。 逆に周りにはワクチン副作用の人が多くいる、そのほうが怖い,38,noboru igarashi
18-6,そうだねもっと早くやってほしかった,3,順子 高橋
18-7,結構、肝心の内容は消されてしまいましたが少しは辛うじて載せられましたので良かったです。,2,shi *****
18-8,@Tar Sie 様はい、ありがとうございます。その通りですね。,3,shi *****
18-9,犯人の決定的な内容が消されました,4,shi *****
18-10,日本で緊急事態宣言が最初に出された頃、厚生労働省は各病院に、他の死亡原因でも新型コロナ死亡とする通達が出されています。それも世界各国でも同じ通達が。,13,shi *****
18-11,酸化グラフェン5Gナノ集積回路。,12,shi *****
18-12,5Gクラスターの影響を受けた方々に、酸素吸入器は内部の粘膜を更に悪くしてしまいます。5Gの届かない地下などならクラスターは避けられると思いますが、5Gは携帯やゲーム機、最近では空調設備にも使われていますので注意が必要。,7,shi *****
18-13,5Gクラスターの説明が消されます。,9,shi *****
18-14,@Tar Sie 様自然療法大学チャンネルのルイさん詳しく説明しています‼️,16,モーリータミー
18-15,@牛すじカレー 様全く同感です‼️子どもには打たせたくないです‼️,21,モーリータミー
18-16,@shi ***** 貴重な専門的なお話を有り難うございましたニコ動で米国で5G基地局（中国製）を設置してた方の話では感染と位置が一致してるダイヤ○ンドは衛星から だったと,13,Tar Sie
18-17,肝心な内容は消されて載せられないですね。,21,shi *****
18-18,@くうぽん 無理です、身内に説明したところで聞く耳もたずの人は残念ながら。,41,ネイマール
18-19,悔しい結果です😖許せない💢　打たせる前に恐怖心を煽るのでは無く、後遺症もしっかり伝えるべきでは⁉️議員で、何故後遺症は出てないのですか？　コロナで亡くなった人は⁉️子供達に、今解決していない事を置いといて　打て‼️ばかりでは納得いかない❕　先に後遺症の方を救って原因を調べて下さい‼️‼️,50,木下法子
18-20,親がうってしまいました。流れを止めてほしい。,45,くうぽん
18-21,手遅れで亡くなった方は70,000人に上ります。厚生労働省に上がってる報告は氷山の【極】一角です。,68,DESmusic
18-22,@牛すじカレー 4回目でバタバタ。日本もすぐに4回目だよ。,80,斎藤誠
18-23,@k 非接種者に責任転嫁させるには流石に無理がありますよ。もう接種していない人が絶滅危惧種の国ですから。,174,山葵
18-24,テレビ脳は早く3回目で手遅れにしていただきたい(・ิω・ิ),70,かなりかずき様と呼べ
18-25,2万人が、副作用ですよ,129,kunpunogogatsu
19,母も、ワクチン3回目接種後、10日で、帯状疱疹に…血尿も…ワクチン副作用もっと報道してほしい,10,Rieチップ,0
20,サンテレビさん、こういう公平な報道をしていただいてありがとうございます。サンテレビさんとCBCさん以外は、どこのテレビ局もワクチンありきなので、うんざりです。これからも、こういうニュースを取り上げてください。応援しています。,505,イチジク,0
21,素晴らしい報道だと思います。これからもこの姿勢を貫いて欲しいです。サンテレビは兵庫の星ですわ。,252,hetasugirugolf01,0
22,世界中、同じような症状になった子供たちの動画がたくさんありますね。なんでこんなこと。治療法を真剣に追い求め、解明を急いでいる人たちはたくさんいます。頑張ってほしい。,312,ryoko koko,0
23,今の時代メディアは虚偽の情報とか大事な報道をしなかったりとするけどこれは見る価値がありすぎる！,305,慎導灼,0
24,よくやってくれた全国で、本当にやってほしい本当に、後遺症数多くいる被害者や、患者が多くいる。長尾先生ありがとうもっと出てください関東地方のテレビ局にも,158,順子 高橋,0
25,こういう報道が大事なんです！応援してます！,57,Aoitori Mame,0
26,サンテレビさん、メディアの誇りだと思います。,453,マコマ,0
27,メディアがこういった問題を報道してくれることで、多くの人がワクチンの是非を考えるきっかけになります。ありがとうございます！！,2525,まろ,14
27-1,@Danku 自然免疫の方が強いとの事ですね。,4,sukuino mi
27-2,時すでに遅しやな国民のどれくらいが既に打ってしまったか…自衛隊や病院関係が強制なのは信じられない,3,くまモン
27-3,長尾医師を取材してくれるメディアがあるとは感激です。周りでオミクロンにかかった人がたくさんいますが、３回目接種後にかかる人が多いです。オミクロン感染者：小さな子供(1~7歳)や高校生、大学生は無症状〜鼻水程度で終わる〜酷くてもグッと一度熱が出て それでも１、２日でケロッと治る。大人は無症状〜酷くても38度台の熱が出て(解熱剤を飲むとダラダラ長引くけれど)解熱剤を飲まず、高熱中はスポーツドリンクで水分と塩分糖分を補給しながら横になってしっかり体を休めた人達は４日くらいでケロリと治っています。酷くてもインフルエンザよりも軽く、ワクチンの必要性が全く感じられません。そしてワクチンした人の方が長引いています。,8,Danku
27-4,@きくよん なか noKai1さんから無料でチラシをもらえますよ！,0,nocturne
27-5,@えなfam magu YouTube脳,1,かいとさえこ
27-6,メディアが報道するのを待っていては手遅れになります。みんなで今すぐポスティングとかできる事やりませんか？,17,きくよん なか
27-7,未だにテレビを見ている情報弱者(＝あほ)向けに作ってくださり有り難いです。,39,えなfam magu
27-8,株主、スポンサーの意にそぐわない報道は出来ないのが現実,50,知らんけど
27-9,メディアがようやくですね。でも、こんなんメディアが出る前から調べてたら分かりますよ。メディア待ちしてる時点で遅い,141,ta ka
28,先生は本当にずっとこうして周りを敵❔にしても発信して下さってて本当にありがたいです😢私も子どもの接種だけはなんとしてでもやめさせるべき‼️だと思います,424,アキちゃん,5
28-1,@Jacob's Ladder そうなんですよね。たかが同調圧力ぐらいで、と正直思います。,5,y oym
28-2,日本には同調圧力と言うものがあるのを　ご存知てすか？,18,こめきち
28-3,日本ではワクチン接種は義務化されていませんよね。海外では日本の人道的な対処が称賛されています。ただ打たない、という個人選択をすればいいだけではありませんか。,30,Jacob's Ladder
29,先生の発信、サンテレビさんの勇気ある発信は大変有難いです。知ることは、1番大事です。もっと深く取り上げていただきたいです！,359,Cream CNN,0
30,私は、ワクチン一回目を打った日の夜中から吐き気が止まらなくて、六日間吐き続けて緊急搬送されました。今も突然熱が出たり、動けなくなる程体が重たくなる日が二週間に一度のペースで訪れます。打つなとは言いませんが、体に合わない方はかなりダメージを食らうのでこれを機に流れに身を任せるのではなく一度立ち止まって考えてみて欲しいです。100パーセント危険ではありませんが、100パーセント安全でも無いので身内ともきちんと話し合った方が良いと思います。是非後悔しない選択を。,593,りんりん,5
30-1,内科クリニックで去年働いていましたが、若い患者さんで、数週間吐き気と倦怠感で、フラフラになりながら来院され、数回点滴をしました。いまはどうされているかわかりませんが。強く衝撃でした。私は半年たってやっと自分の体に戻る感じでした。自分がもともとある痺れや痛みが増します。周りへの優しさを持ちたいです。この接種によって個人差によりたくさんの症状があること。簡単に思い込みにして欲しくないです。心臓の症状もあった方もいて、循環器にも紹介されたかたもおりました。,7,まにまにの里直美
30-2,私も、1回目ひどかったあなたと近い症状でた,3,順子 高橋
30-3,りんりんさん、尼崎は遠いかも知れませんが長尾クリニックに症状を問い合わせて見てください。,22,magnificentrevue
30-4,心中お察し申し上げます。そして一日も早い快復を願っております🌹,56,DESmusic
31,子供への接種迷っている中で本当に参考になる動画でした周りはみんな感染がこわいから打つと言って、打たないことへの周りの目が気になりますこういった情報が正確に伝わることにより同調圧力がなくなることを切に祈ります,120,ららった,0
32,他のテレビではこういうワクワクの後遺症については無視していますね。しかし、いずれは無視できなくなるでしょうね。関西に長尾先生のような良心的な医師がいることは大変に大きな希望になります。我々も先生の意見を拡散していくことが必要です。,1989,合谷洋四郎,16
32-1,@yookesu1999 そうですね。,0,合谷洋四郎
32-2,泉大津にも立派な市長がおります,1,yookesu1999
32-3,@ryoji muto その老人も接種してるはずなんですけどねファイザーも、感染予防効果は望めないと言っていてそもそも、老人でも感染率2％死亡率3％のために子供を遺伝子治療のモルモットにする大人が言う事は既に筋が通っていないですね笑,0,むへへちゃん
32-4,youtubeも論文発表に基づいて発信していた医者のアカウントがBANされたり一般の動画が止められたりしてますけど。,13,takaborn
