1,これを大手マスコミが触れない事絶対に忘れてはならないよね…大石さん、報道の自由を語るのはこういう時こそだと思いますね本当に有難う,1809,K,17
1-1,3S政策だからね,0,ホセムヒカ　リスペクト
1-2,@こーしゃん 売れてなさそうな新聞やコンビニに置いてある雑誌とかどこから金が出てるんだと思うよ。普通ならとっくに潰れてそうな気がするし。,0,室井修
1-3,1人だけ死のうと報道するワケねー大石なんて日本人でもないだろ,0,zr ze
1-4,2／17   ～【コロナ💉】開始4／中旬～《総死亡》↑↑　厚生労働省　💉副反応疑い報告　2／18開催  鈴木参考人資料より【コロナ💉】を凌駕し得る整合性の取れた要因が他に有るのでしょうか❓,12,漣 さざなみ
1-5,批判精神がないどころか批判精神を批判しに誘導しようとする有り様だものw,47,もえぶたお
1-6,@ken satou まさにいつもは、偏向に近い報道をしているくせに、指摘されると「報道の自由」放棄するのもマスコミの自由なんでしょうね,79,K
1-7,報道の自由と言うか、政権を監視するのもメディアの役割だと思うが、完全に放棄している。それで（アイツラは）社会の木鐸とか言い出すからな。呆れてモノも言えない。,118,ken satou
2,大石さん、スタッフの皆様、いつも大切な情報を、ありがとうございます。ワクチン接種が開始されてから、周囲で、今まで聞いたことのないほど多くの方が、体調不良が続いていたり、難病にかかったり、亡くなってしまったりしています。最近も友人のお母様が接種後二日目にお亡くなりになり、自宅を訪れた警察に「ワクチン接種後の急死は多いのでしょうか。」と聞くと、「たしかに多いです。」とおっしゃっていたそうです。大石さんのおかげで、少しずつ少しずつ、他のマスコミも動き始めているのを感じますが、まだまだ様子見ですね。都合の悪いことをスルーしているテレビ局は、ジャーナリズムの役割放棄で、益々信頼を失っていくと思います。,1517,あい あい,16
2-1,知人の70代の方は３回目接種後、３日で亡くなりました。,7,平井和正
2-2,@1929wall street 情報ありがとうございます。,5,こーしゃん
2-3,@宏美 貴重な情報ありがとうございます。お父様・・・残念でしたね。。御冥福を・・,9,必札遊人ch
2-4,@1929wall street ワクチン先進国のイスラエルを見れば打った人程又感染しているように思うのは私だけですか？,21,こーしゃん
2-5,うちの父も2回目接種5日後に急性心筋梗塞で亡くなりした。急な事すぎてなんで？とショックでした。もちろん、ワクとの因果関係は不明で疑問ばかり残っています。この様な報道をもっともっとして、大石さんに頑張ってもらいたいです！,31,宏美
2-6,@1929wall street お金の流れを調べて見る事です。都合が悪い事は報道しない理由＝報道機関は減益減収でお金が無い＝スポンサーは製薬会社＝製薬会社の都合が悪い事は報道しない＝政府に株を買って貰っている＝政府の隠したい事は報道しない。ご自身で調べて見るとよく分かります。,17,こーしゃん
2-7,警察の方で正直に、お答えになった人がいただけマシですね(*^^*)けど正直に言えない人の方が多いのでは？政府から箝口令が出てそうだから特殊な仕事をしてる人は命を守る為に色々と大変？°･(ﾉД`)･°･,27,アールエスヴィピー
2-8,警察、消防の人が声を上げて欲しいですね。特に消防の人。救急医と消防士では救急車で搬送されるされた患者には、真っ先にワクチン接種を聞くとのツイートがあったが、まだ現場からの声が上がっていないです。,103,ken satou
3,NHKよりCBCの方が、人の役に立つ情報を発信しています。大石さん、報道スタッフの皆さま、いつも本当にありがとうございます。心から感謝しております。,2457,黄金世界,41
3-1,@三世ルパン アーメン,0,きちとら
3-2,NHk見たくなくても毎月金払わないといけないのが変!,1,Latica L
3-3,3S政策ね、,0,ホセムヒカ　リスペクト
3-4,君らNHK見てないんじゃないの？CBCって名古屋じゃあくっそメジャーだし。,0,promo
3-5,大石って帰化か？,2,zr ze
3-6,反日偏向報道だらけの中日新聞系のCBCニュースか道理で工作員しかいないと思ったわwwwww,1,zr ze
3-7,NHKには絶対に金払わないけど、CBCからは金もらいたい,1,G O
3-8,あのう、私、不織布マスクを一日3回新しいのにかえてます。場合によっては、不織布マスクとDRC布マスクの二重マスクしています。,4,た−ちゃん
3-9,nhk受信料も高いし、主人のお爺さんが契約人なのに、お爺さんはもう大分前に亡くなったが、その受信料は孫の主人が肩代わり払っています。　主人の母親さんは健在ですが、父親さんのお金は母親さんがお持ちなのに受信料などなどの他人に見えない支払いだけは主人に回ってくる。,8,魚料理
3-10,そうなんです！！そのとうりなんです！,8,fjiewojfolf3
3-11,@た−ちゃん 私も私の家族も一回も打たず元気で感染していません。,12,こーしゃん
3-12,私も50代ですが、1回も打たず元気です。同居の母は90歳ですが、1回も打たず元気です。,19,た−ちゃん
3-13,『加齢ストップチャンネル』ええで。,6,た−ちゃん
3-14,1794も『いいね』あるてスゴイ!,5,た−ちゃん
3-15,@porgkblod5243beio 私も議論まではしないようになりました。しかし私はこう思うと言う事は言っています。,3,こーしゃん
3-16,@kajyu N お金の流れを調べて見ればある程度の事は分かります。,4,こーしゃん
3-17,@Tommy TAKA 私も陰謀論者扱いがコロナ騒動始まった当初からされていました。が少しずつ潮目が変わりつつあるように思います。,6,こーしゃん
3-18,@porgkblod5243beio そうですね。でもそこまで読めれたらこちら側が喜びそうな報道してくれているのをこちらも利用すればいいのです。,4,こーしゃん
3-19,@中嶋敦司 それこそ認めないぞ！と言う覚悟が政府＝テレビメディアから漂っています。,5,こーしゃん
3-20,@Tommy TAKA さん、わたしはテレビ教信者たちは洗脳されていていくら議論してもとうていこちらの話しを聞かないから、最近は議論することもやめるようになりました。時間の無駄ですし、お互いが不快な気持ちになり生産的ではないからです。火葬場建設のことは知りませんでした。教えてくれてありがとうございます。,14,porgkblod5243beio
3-21,NHKに受信料を払うぐらいならCBCに払いたい,29,TORU Prin
3-22,ほんとですよ。こういうきちんとした事実を放送してくれるならNHKよりCBCに受信料払った方がいい。,29,Aoitori Mame
3-23,TBS「おい、CBCやり過ぎだ」,17,サウナカプセルホテル
