1,正しい人が報われる社会でなくてはな河村市長ありがとう,273,まっちゃん,0
2,国は全然後遺症の事など触れずに、バンバン打たせたがっていると思います。こういう状況で対策を取ろうとするのは大変な逆風が予想されますが、めげることなくどうか頑張って体制づくりをしてください！応援してます。全国の都道府県の偉い人たちも、続いて欲しいです！心より切望いたします。,125,岡本かのこ,1
2-1,その通りですね！とにかく、自治体や、政府は、打て、打てで！差別は、やめて,5,かなと
3,河村さんは苦労人だからこそ、人の苦労がわかるのだろう色々言われてますが、応援してます,266,正義の味方黒頭巾,1
3-1,河村市長は英雄だと思う。これだけの同調圧力に屈しない度胸も凄い,27,本多拓也
4,つまり「4時間やり過ごせば完全犯罪」と国がお墨付きを与えているわけですな,108,inoue ska36,0
5,河村市長ありがとうございます。打って苦しんでいる人は多い。急性アレルギー反応しか認めない厚労省の対応はあまりに酷く、それなら推奨はやめるべきだ。長期の安心データがないことは厚労省も認めざるをえないのだから。,293,wa ka,0
6,子供にワクチン打たせようとするアタマのおかしい知事とは違って河村さんには愛がある,166,つっちー,3
6-1,ワイドショーもおかしいし、医師会会長もおかしい。変な連中ばっかりだわ。,20,ken satou
6-2,大村愛知県知事のことですね。ファイザーからもらってんかな。,10,sunshine911
7,ワクチン後遺症は、何ヵ月も経ってから起こることもありますよ、わが家の息子も脳出血で大変な事になりました。幸い、点滴で何とか治療してもらいましたが、この先、心配になります。何年も後に色んな人達が、持病の悪化等、起こることも予想されますよ,227,music mysoul,0
8,本気で市民の事を考える市長や議員は叩かれる・・・残念な事です河村先生！頑張って市民を守って下さい！,205,HGA0728 Music Channel,0
9,河村市長頑張ってください！尊敬してます！市民を助けてください！,233,トラ,0
10,河村さん、国は認めないが、後遺症の方はいます。助けてあげて下さい。何で接種して後遺症が出たら悪者になるのか？国、専門家、医師達を信じて接種しただけです。知事は「打って打ちまくれ❗️」しか言わない。お願いします‼️,54,こてちゃん,1

11,名古屋市長は素晴らしい。政治家はこうあるべきだ。,152,うさぎうさぎ,1

12,ワクチン後遺症に悩まされている人がいる事実を全国にもっと広めてもらいたい。是非頑張ってください。,42,kuuka -haru,0
13,市長さん、素晴らしい取り組みです❗️大阪の泉大津市長さんも頑張っておられますね😃全国の市長さん達が見習って欲しいです❗️,130,pia non,0
14,河村市長さん　立派な　政治家デス。国を上げてやるべきデス。　私も　嫁がワクチン後遺症で半年苦しんでいます。,78,池田典子,0
15,市長さん素晴らしいです！国がダメならこうやって全国的に広まればいいですね✨,176,F,0
16,こんな動きが全国的に起こってほしい。,103,ハーモニーサークルチャンネル,0
17,さすがは河村市長、国政で総理大臣になってください困ってる国民を助けない岸田総理、、、,168,omasa4552,0
18,河村市長ありがとうございます！様々な圧力があると思いますが、こうして窓口を開設してくださり、感謝しています！,107,ぱぴこ,0
19,当然の事を国や政府は知ってるくせに知らん顔説明もしません。河村市長！当然の事に皆目をつむっているのに行動していただいてありがとうございます！名古屋は色々恵まれてますね！名古屋の誇りです！,96,アッコアッコ,0
20,CBCも河村たかし市長も素晴らしい！,71,石井幸希,0
21,名古屋市に続くところはないのか？市民の困りごとに取り組める河村さんを見習え！,77,awk ward,1
