1,私も当時、子供のかかりつけ医師から「3回が1回ですむ」と言われ、MMRワクチン接種を強くすすめられました。当時のMMRワクチン説明書を読むと 副作用の確率が高かったので「接種しません」と返事をすると、首をかしげられ、悪い事でもしているかのような(変人なのでは？というような)気まずい雰囲気になりました。たぶん 多くの方が 医師からのすすめで 素直にMMRワクチンを子供に接種したんだと思います。当時のMMRワクチン接種も 大変断りづらかった事を経験しています。その数年後、重大副作用のためMMRワクチン接種が中止された事を知りました。「接種した方がいい」という医師からの圧力って、本当に怖いと思います。,1509,ひおあた,21
1-1,@はんぺん(神奈川) 悲しい時代ですね。いまはMR（麻疹風疹）は公費、おたふくは自費とわかれています。MRを打たないお子さんはほぼいなくなりました。,0,ポンカン
1-2,副作用の確率高くないですよ？まさか患部の痛みとか熱とか全くなしじゃないと打たないとか思ってるんですか？そりゃ変な人だわ。心筋炎は20万人に1人ですよ。しかもすぐ自然治癒するし。,0,ゴールドスタンダード
1-3,@蜻蛉 ワクチンで発達、集団ストーカー…あっ…(察し),2,ド淫.乱ピンク
1-4,@きゅい もしかして医療従事者の方ですか？とても詳しく教えて下さってありがとうございます！確かに世界中のお医者さん達が全員嘘つきだとは考えられないですね。しかも詐欺だなんて……まずは病気にならないように気をつけます！,2,ri yuu
1-5,@きゅい はい！さすがにネット上の意見だけで自分の生死に関わるような決断をしようとは思いません。ただ、一つの意見として覚えておこうと思いました。自分の祖父も癌を患っていたので、癌の恐ろしさを見くびったりはしません。ご忠告ありがとうございますm(_ _)m,0,ri yuu
1-6,@岡本雅佳 様夕張市の財政破綻に伴い市立病院が廃止されたら病人が減ったそうですね。薬漬けの怖さ。確か他の県でも同様のことが起きたそうです。まずは自己免疫力を高めるような生活習慣(食、運動、睡眠など)に改め、病気を作らない。風邪の引き始めに薬で症状を抑えるのは戦っている免疫に冷や水を浴びせる行為と知らなければねりむせんね。,7,rin coco
1-7,僕のような若造からしたら経験者の話はとても参考になります。これからは医者の言うことを全面的に信じるのではなく自分で考えることを忘れないようにします。,9,ri yuu
1-8,その通りだと思います。俺の友達の父親が余命３か月の肺癌の宣告を受けて入院していたのですが、２週間したら入院してたらマジで病気になっちまうよって言って、病院を退院して家でゲームしてタバコ吸って、酒飲んでという生活に戻って、この人頭おかしいなとその当時は思っていたのですが、２０年経ってもその人生きております。余命３か月は何だったのか。特に食生活も何も変えていないのに何事も無いようにその人未だに元気です。,18,岡本雅佳
1-9,@YMO1112 あらやだ私と同じ意見w抗がん剤は増がん罪です。アメリカはもう使ってない。,26,森まりあ
1-10,@YMo1112 様　　返信ありがとうございました。訴訟の方向へ進めようと思いました。力を頂いてありがとうございました。,17,JJ chacha
1-11,@YMO1112 　半年前に主人もガン治療で殺されました。患者は金づると研究材料だけなんだと思いました。1通の市からの検診を受けたばっかりにもう生きてません。そして最初に抗がん剤の使用は拒否したのに説明もなく使われてました（亡くなってから分かりました）これがまかり通るのでしょうか？,38,JJ chacha
1-12,「医者は人殺し」これが原則と考えましょう。私の父もガン治療で殺されました。安易に医者は信頼してはいけませんよ。基本「患者は金づる」として見ています。,47,YMO1112
1-13,摂取しない方がいいという人もいましたよ。そのせいではしかの抗体がなくなり、妊婦が感染してしまい、そして障害を抱えた赤ちゃんが産まれました。耳が聞こえない障害も決して軽いものではありません。,33,はんぺん(神奈川)
1-14,本当にうたなくて良かったですね！,91,トムトムトム
