1,どんどんこういうニュースを隠さず取り上げて欲しい,8356,Y A,75
1-1,@通りすがり okok、返信ありがとう,0,超ベジタブル
1-2,@超ベジタブル 普通に考えたらわかるのになぜそうなる。そんなんやから擁護する気にもなれん,0,通りすがり
1-3,@通りすがり テレビ情報？,1,超ベジタブル
1-4,@8818 sun 逆に打たなかったせいで死んだ奴もいるけどな,0,通りすがり
1-5,こういったことは自分が後遺症にあったら騒ぐ、合わなかったら運命だとわかった風に言う。つまり自分が関わったかどうかで行動が変わる。なんたるコメント欄のわかりやすさか。後遺症があるもないも慎重に見ることがまだまだ大事なことだと個人的には思う。,3,グルメ旅夢気分
1-6,もう隠しきれなくなってきましたね私は一度も摂取していません,2,ベベルとエンボス
1-7,@mu pura どこ情報ですか？具体的にそ言うと後者の方は何10万人もいるってことですか？,1,通りすがり
1-8,つべこべ言わずに打て,1,とまむ
1-9,そう思います,1,パンプキンパイ
1-10,@go Domingo 確率の話だからさ、数字の話しただけであってそこに感情論持ち込まれても困るんだよね。もう返信しないで,5,れもんまん
1-11,@れもんまん その数例に自分の子供や友人の子供等がなったらどうでしょうか？その軽率なコメントが理解出来ません。,8,go Domingo
1-12,@田中一郎 まあしゃあないわな,1,まきま
1-13,摂取後タヒんでるやつもいるからな,6,8818 sun
1-14,学校とかもよく感染隠蔽とかしとるわ,3,れいRK
1-15,今1番公開すべきことは接種○亡者数なぜなら、感染○亡者を大幅に上回っているから,12,phalanx
1-16,@。きょっちー 全く少なくないですよ！2020年度超過死亡はパンデミックにもかかわらず18,000人も少なかった。2021年戦後以降最高で3.11より多くて例年よりも70,000人近く多かった。公式に発表してる第一情報からちゃんと調べて考察したら分かりますよ。,7,R N
1-17,激しく同意です。このコメ埋もれないで欲しい。,7,ひよこさん
1-18,接種後の発症予防効果の数字も怪しいもんだ。,12,masayuki
1-19,責任転換するやつ多すぎるは薬なんてその人に合わなかったら異変出るの当たり前。異変出たら運が悪かったそれだけ以上。,3,U
1-20,@神田昌典 なぜ反対した政治家が正解なんだ？？,4,シルバ齋藤
1-21,@神田昌典 お前が決めんな,3,シルバ齋藤
1-22,@BFC 文章で、という事でしょうか？恐らく詳細な検査結果や診療録などがあれば、医師にはある程度判断できるんじゃないでしょうか？それよりも実際に病院に行かれて相談した方が良いと思いますが…,3,KG KING
1-23,@KG KING あとどんな情報があれば分かるの？,3,BFC
1-24,@BFC さあ、分かりません。恐らくその文章だけで分かる人は皆無だと思います。病院に行って検査や診察を受けて医師と相談してください。,3,KG KING
1-25,@寺田真心を君に とりあえず命を助けて問題が出たらその時考えるのがシャヒン流です。,2,BFC
1-26,@田中一郎 証拠は？,3,シルバ齋藤
1-27,@Tonya 証拠は？,3,シルバ齋藤
1-28,@田中一郎 でも打った人って何千万っているから確率的にだいぶ低くね,4,れもんまん
1-29,@れもんまん 2:46 一県の一つの病院が80件以上もワクチンの後遺症を訴えてる患者がいるのを数例で片付けていいのでしょうか、報道されてないだけで相当数いますよ。,27,田中一郎
1-30,@すーぱーかぶ小熊 それ気が付いてない人取り付かれたみたいになってるよね。。。まじで二元論でしか見れない人が多すぎる。,13,百式🌙
1-31,@えりな 陰謀論は儲かるからね。陰謀論者は金儲けの一端を担ってることを自覚したほうがいい。,12,すーぱーかぶ小熊
1-32,@Futaeno Kiwami 病床埋まって医療崩壊は日本医師会が機能してないから起こってるだけですよ。,8,kk
1-33,@上杉信玄 様農耕民族特有のシープル🐑多いのかも,10,本多拓也
2,患者に向き合う本当の医師だと思う。,1251,miwa ροα,10
2-1,アホさん達に、質問なんだけど、、、なんであんな得体の知れないまともな枠珍とすら呼べないような代物を自分の大事な身体に入れようと思えるの？？？本当に理解できないんだけど、、、,3,檜上左吉
2-2,てか、打たなくてもいいからね。嫁の親族も家亡くなってるしな。辞めとけ,1,--ซูกิโมโตะ—
2-3,@宮田和博 その通りですね。,4,檜上左吉
2-4,@西Low Papi 私が行った医者はメリットもデメリットも離さず、アレルギー持ちなので医師に質問したいって欄にチェックしたにも関わらず着いたら即注射だったしかもここまでひどくないけどその日から左腕の力が入りづらくなったまま治らないし2度としたくない,4,いぇあ
2-5,最近は、○染者数って、高齢者よりかも、20代がメチクチャ多いって、おかしい。うちたい年代を増やしてる様だ。,9,宮田和博
2-6,だがワクチンのメリットデメリットを素直に話せる医師も患者を考えてる意味で本当の医師だと思う,30,西Low Papi
3,予防のために積極的に受けているのにそんな方々がこんな病になってしまうなんて本当に意味がわからないです。国から開始したのになんでもっと対応してくれないのだろうか。無事いつもの生活に戻れることを心より祈っています。,194,Tom,2

4,若い人で基礎疾患がない人はそこまで重症化しないようなのに、打つ必要性が本当にあるのかな、、、と不安になります,53,ぴっぴ,0
