1,大石さんこそ本物のメディアの務めを日々果たしてくれていると思います。,1803,鈴もち,12
1-1,教えてアンパンマン0 秒前普通に、ノシーボ効果だろ。そういう意味では因果関係あるな。怖がらせすぎなんだよ。,0,教えてアンパンマン
1-2,@吟遊詩人 あまりに弱小すぎて見逃されてるだけだと思う。全国放送では絶対に無理。,17,marlon moon
1-3,@吟遊詩人 逆に言えば権力者はガス抜きの必要性を感じているわけだ。ならばもっと感じさせようよ。それが真実を知った大人の作法だ。,25,ラッキー純
1-4,添加物の塊の液体を身体に入れるとどんなに恐ろしい事が起こるのか早く気づいて欲しい。,38,Miracle U
1-5,@ラッキー純大本は 同じ人間が支配してる,39,marlon moon
1-6,@成長チャンネル 軍事産業も大概だけど医療産業はそれ以上だと今回分かったわ。,74,ラッキー純
1-7,@ラッキー純 さんほんとめちゃくちゃですね🥲,45,成長チャンネル
1-8,それにくらべて医師や看護師、製薬会社は悪魔だな。,115,ラッキー純
1-9,ほんと素晴らしすぎます、https://youtu.be/nVh946oBNo0ありがとうございます♪,57,成長チャンネル
2,医者は自分達がお手上げだとすぐストレスのせいにしたり、心の問題みたいな事を言って逃げますよね。大石さん、このような発信を今後も継続して下さい。そして、実際に起こっている事を広めて下さい。まだまだ知らない人が沢山いると思います。,912,Luna Lucia,11
2-1,本当に医者は、最後は精神的なものでしょうみたいな事を言うけど、それを聞いた患者はどれほど落胆するか..,1,あやあやの
2-2,医師は傷害保険に入ってるし、法律でかなり守られているから、賠償責任とらなくて良いケースが驚くほど多い、そんなもんです。,4,ussissi
2-3,ほんとそう。私もワクチン接種した後体調崩して、息苦しさで過呼吸になって、救急車呼んでもらって。病院ではコロナでもない、異常も見つからない。体の水分量が少し足りてないから、若干の脱水状態かストレスで体調が悪くなったんじゃないかって言われました。そのあと1ヶ月弱水分たっぷり取って、仕事も辞めて自宅療養してたけど、なかなか治らなかった😇原因はワクチンじゃないの？ってこれ見て思いました😳,6,ちんちらはむ子🌸
