1,こういうことが政府によって繰り返されてきた歴史があるのに日本でも同じ。なのに何故今は安全だと信じてる人がいるのか理解できない。,318,サイコパス,4
1-1,まあ、まさか自分たちがやられるとは夢にも思わないもんですからね、人は。詐欺とかもそうじゃないですか。特に平和ボケしている人はそうかと。,11,零星宮
1-2,自国民ですらモルモット扱いにしてた製薬会社や政府が外国人の日本人に真摯になってくれるってどうしたら思えるんだろうな,18,S21
2,人種関係なしに、裏で何が行われているのか、信頼できないのは同じ。結局、長期的安全性有効性のわからないものを、一般の人を使って人体実験を行っているという意味では変わらない。,147,maririn77,6
2-1,@no name ノーベル賞を取ってる人が行ってることは全部正しいらしい　ノーベル賞受賞者なんてこの世にごまんといるわ,0,H K
2-2,@no name ハイハイ権威主義権威主義ノーベル賞を取っているから何なんだよ科学はそこまで甘くはないぞ？,0,Solar Ray
3,治験が終わっていないものを小学生以下にも打つことを推奨しているのだら、政府を信用しないのは至極当然だと思うが。,116,peace and seclusion,4
3-1,治験ならちゃんと行っとるが。,0,Solar Ray
3-2,もう少し勉強しなはれ,8,peace and seclusion
3-3,治験が終わるまで待って永遠と新規感染者出しまくってた方が良かった？,5,Ru Tu
3-4,しかも量も大人と同じっていうw,11,b o I z o n
4,ニューヨークハーレム在住ですが、このような内容が日本にも知ってもらえるようになってありがたいです。現地政府は日本と違ってとにかく強制する姿勢が強く、打ちたくな人へ納得してもらおうという努力は見られません。そもそも接種は自由であるべきなのに、ワクチンパスポートのせいで文化的な生活が一切送れなくなっている人もたくさんいます。ワクチンパスポートを偽装している人だっています。全ては人体実験のために市民を追い込んでいるようにしか思えません。,101,ponkennedy,1
4-1,アメリカ人の親戚がほぼ全員ワクチン反対派ですが、政府の陰謀だとか本気で話していてワクチンを拒否している理由がやっと理解できました。ドラマの見過ぎでは…と誤解してました😓,8,K Okamoto
5,一度失った信用を取り戻すとこは非常に困難だ。誠意を見せ続けるしかないな。でも忘れちゃいけないのは、過去から何かを学ぶことができる機会は被害者にも加害者にも平等に与えられてるってこと。,575,ダマラスカイキクノ,2
5-1,韓国人にも教えて下さい。,3,ジョニージョニー
6,こういう歴史的事実が他にも沢山あるのに、何で政府による陰謀なんてあるわけないって考える人が多いんだろうね。,388,donchi dourao,31
6-1,陰謀が本当にあったとして、私らでどうする事も出来んやん。家畜として生涯を生きる方が楽しいし楽だよ。,0,オハナ
6-2,@たなか 政府信用してるんだwおめでとうございますw,7,真紅
6-3,人は信じたいものを信じる傾向にある。,4,ペコアルカセル
6-4,@みつひこ  後に事実がでてくるんでしょ　そんな熱くなるなよ,2,カリカリメロン
6-5,@ゲルマン忍者 この動画は史実に基づいて何故アメリカでら打たなかったりワクチンに懐疑的な人間が多いのか？って動画なのに陰謀論はお門違いすぎる。陰謀論者煽りをしたいなら、陰謀論唱えてる動画にでも行けば良いよ。,0,セルシオ越後
6-6,@忍者君 日本人じゃなくて五毛党だったりして,1,金玉草男
6-7,@韓非子 いえいえ、お気になさらず。あなた様ほど日本語が不自由ではありませんので。,6,忍者君
6-8,@みつひこ  先にも書いた通り、私は陰謀論者ではありませんし、特定の陰謀論については何も言っていません。何の根拠もない陰謀論を主張するのもおかしいし、頭ごなしに陰謀を否定するのもおかしい、という一般論を述べただけです。,16,donchi dourao
6-9,@忍者君 私は何が陰謀論だ等と否定をしたわけではないよ日本語が不自由だから勘違いして怒っちゃった？ごめんね,0,韓非子
6-10,@donchi dourao ？？？？陰謀があると証明すべきは「陰謀がある」って言ってる人たちですよその証明ができてない、つまりあなたの言う「客観的根拠と論理性」が無いからこちら側も「じゃぁ政府の陰謀何てないよね」ってなってるだけで…陰謀何てあるわけないって言ってる人なんてそういません、多くの人は「何を根拠にそんなこと言ってるの？」って言ってますいつもいつも答えずに逃げるのはあなた方です,5,みつひこ
6-11,@忍者君 過去にそういう人体実験があったことは事実だけど今回のワクチンで日本政府がそういう人体実験しているかは事実じゃないんだが。。。それともなんかソースあるの？事実って断定しているからには確固たる確信があるんだよね？,1,みつひこ
6-12,@KIM HS この話って「赤旗」が元なんだよね。,2,金玉草男
6-13,日本関東軍731部隊の人体実験,11,KIM HS
6-14,@韓非子 事実を陰謀と決めつける人は、モテなそう。,47,忍者君
6-15,陰謀論を信じたいなら信じてるでいいんじゃない？結果間違ってて死んだりしても、自分の責任なわけだし,37,ゲルマン忍者
6-16,もう打っちゃったから、自分を安心させる為かもしれませんね。,77,忍者君
7,無料（ただ）ほど怖いものはない。日本人も過去から、学ぶべき。,110,mini mini,0
8,打つ打たないは個人の自由とあるけれど「ワクチンまだ打ってないの！！？」みたいに周りではワクチン打つことが当然のような風潮を感じます。ワクチン打ってないと仕事も外出も出来ませんみたいな事が起こらないで欲しいと願う。,459,Mr adult,23
8-1,@人に優しく 太田市のクラスター42人中ワクチン接種者29人やったな。笑笑,8,バカ野球
8-2,ブイブイ言ってないで打てよオッサン,2,roux
8-3,@UU PP アレルギー持ちをたんなるわがままですますやばい奴もおるけど。,14,0052 gulmin
8-4,@サエ 　上の記事読んでみてそれでその考えが変わらないならそれでいいんじゃない？,2,人に優しく
8-5,@ああ 独力で反論できないので記事を紹介します「新型コロナウィルスは無症状・無症候の人から感染するのか」医師のコラムです。リンクは貼れないのでカッコ内のワードを検索してみてください申し訳ない,2,人に優しく
8-6,@人に優しく 発症したら隔離されませんか？なので単純に比べることはできないと思いますよ。でも実際エンカウントしやすさを鑑みると保有〜感染状態が他人に移すリスクとしては重要視するのが妥当でしょうね。実際ほとんどのpcr陽性者が無症状なのはウイルス保有の状態にあるからだと思いますよ。,7,ああ
8-7,@人に優しく 同じ数字やデータ見てても前提と解釈で変わってきますもんね。こちらこそありがとうございました。,22,ゆ
8-8,@ゆ これ以上議論するには知識が足りないのでここまでにしましょう付き合ってくれて感謝します、ありがとう,11,人に優しく
8-9,@人に優しく それはどうですかね。症状の強さに度合いがあれど、その期間が1番感染力が強いってことですよね。コロナって無症状の人が広げてるって言われてたので頼りない言い分だと思います。,33,ゆ
8-10,関連というのは相関関係のような意味です、データはないので想像です,2,人に優しく
8-11,@人に優しく  感染予防効果と発症予防効果を混同してるわけではないですよね…？いずれにせよ95%の発症予防効果に加えて感染予防効果まで有るなら、そしてせっかくそれを信じて打ったなら、あまり心配しなくていいと思いますけど。移されにくい＆万が一移されてもへっちゃら、と。万が一感染した場合に人に移しにくい効果が有るわけじゃないので、もし心配するとしたらそこじゃないですか？,44,ゆ
8-12,@ああ 「発症と感染と保有は違うので履き違えないようにお願いしますね。」発症と感染と保有、の中で他人に移す力が強いのはどれですか？違いはないんですか？,2,人に優しく
8-13,@人に優しく ワクチン打っても感染はしますよ笑,134,ああ
8-14,そろそろ枠打も枠ハラも終わりそうですね!!😇ヤバさに気付いて 打たない派がどんどん増えてますし。なんと言ってもコロナ自体ほぼ終息してますから。,78,humuhumu nukunuku
9,情報収集や歴史を振り返る事も大切なのかも知れないけど、何より「直感力」で危険を察知するという生物本来の本能を見失わないで欲しい。,41,choko,1
9-1,mRNAワクチンの仕組みを調べた時、「あ、これヤバイ」と思った｡周りをみると我先にとワクチン打ってるのみて恐ろしくなった。,3,pio kino
10,医学部入ってから授業でこの事件知ったけど、今を生きる人にもこんなに影響を与えてることに気付かされた。,1825,ヨウ村,60
10-1,隙あったか？「医学部で入ってから」のところ不要やろ,0,へのへのもへじ
10-2,これからは人体実験などせんでもコンピュータによるシミュレーションでいける,1,ああ 習近平支持派。みんなワクチン打とう。
10-3,これ。医療倫理の授業で初めて知った,2,arasic0mario
10-4,@grillsteak_927 その数字間違いですよ。詳しくは厚生科学審議会 (予防接種・ワクチン分科会 副反応検討部会)の資料を見て下さい。副反応報告書の表を見たら分かるけど、そもそも現状では報告が上がる方が稀のような…厚労省も人数が多すぎて検証してないって言ってるし、報告数が絶対正しい確証が無いのなら鵜呑みにしない方がいいと思いますよ。,6,金玉草男
10-5,どこの医学部行ったの？国立？,0,青目ねこ
10-6,頑張れよ,0,青目ねこ
10-7,医学部って言葉があるだけで自慢に見えて嫉妬しちゃう学歴コンプレックス多すぎ,2,中臣鎌足
10-8,まだまだ、ついこの間みたいな時間経過しかしていないよ！,2,ホーランドロップイヤー
10-9,@t aa ところで医学の進歩の必要なデータって具体的にどんなデータが得られたの？医学のデータではなく医学での金儲けに必要なデータじゃないの？,2,ラッキー純
10-10,@会長ja 九州大学の事件もな,3,人生に悲観するドラえもん
10-11,遠い昔ならともかくごく最近の事だからね。,1,犬畜生之介
10-12,@何処にでもいて何処にもいないone pad ハーバードが医学部ごときに固執しない,4,ちょびひげ
10-13,@くろまめ 読まなくてもいいぞ、読んで文句言うな,3,太田真由美
10-14,@太田真由美 事実かどうかは別としても君の話し方は人に言葉遣い云々を指摘できるほど良くないぞ。,9,くろまめ
10-15,@太田真由美   正直に自分の非を認めなさい。,7,ああ
10-16,@R. Tsuzuki ヤフコメレベルが何粋がってんだよw,10,太田真由美
10-17,@太田真由美 ネットで得れるインスタント真実笑笑学がないって可哀想....笑笑,4,【出荷済】チキン
10-18,@Amus Apple あほですよねこのばあさん笑,3,きりぬきSHO KIRISHO’s entertainmentSHO FREESTYLE MoVie
10-19,@yasuko hosono ワクチン摂取後の死亡？何言ってんですか？笑ワクチンによる死亡じゃないと意味のない話ですよね？そんなの。しかも分母が全然違いますよね？副反応を副作用と言っているぐらいだから頭はよろしくないんだろうけど、だから数字の見方も短絡的で滅茶苦茶なんだと思いますよ。,6,きりぬきSHO KIRISHO’s entertainmentSHO FREESTYLE MoVie
10-20,@K S この人、自分語りって、自己紹介だったみたいですね。,7,忍者君
10-21,@忍者君 私はハーバード卒なのでそんなことないですよ笑,2,何処にでもいて何処にもいないone pad
10-22,やった方はすぐ忘れるやられた方は忘れない😡😡😡😡,38,kotarou599
10-23,日本は感染者172万人中、死亡18194人ワクチン1回以上は接種9000万人総接種回数1億8000万回中、死亡1233人なら今のところワクチンはコロナより危なくないと思うで。今のところ(これらの数字が政府によって操作されとると言う方の異論は認める。ワクチンの効果について言われると困る),12,ドイル乱歩
10-24,@忍者君 ただの妬みかと,10,ルパン
10-25,医学部の部分入るか？どんだけ自分語りしたいんだよこいつ,10,何処にでもいて何処にもいないone pad
10-26,医学部看護学科ね看護はプライドだけ高い53,19,PABLO
10-27,@太田真由美 ぴえん系は別にワクチンどうこうの話してないし、ワクチン接種後の死亡って事故とか他の病気での死亡も含まれてるからそれのデータと因果関係を示してから殆どとか言った方がいいよ。,15,よしきんぐ
