1,医師という立場でワクチンの被害を認めるのはなかなか難しいでしょうに、自分の立場より患者の事を一番に考えてくれる素晴らしいお医者様ですね。,1280,owl,3
1-1,@mstk kt 昔からそうや,17,ケツ穴評論家
1-2,今回の件で、多くの医師が人の健康より、自分の金儲けということがわかった。,63,mstk kt
1-3,ほとんど認めてない。だめだよ,25,るみねさんだよ。
2,涙がとまりません。子供に打て打てと言ってる医者や政治家に見て欲しい。大石さん  スタッフの皆様 本当に素晴らしい報道ありがとうございます,1172,にゃん,20
2-1,@joey mayer 国会議員の接種率は、ほぼ0%です。自民党を離党した議員さんが言ってました。そりゃ知ってたらこんなヤバいワクチン打ちませんよね。,3,糞偶愚瑠
2-2,一部の医者はデータ集めのために声かけしてるようなものだからなぁ。悲しいけど医者という仕事である以上効果が不明なものは将来薦めることできないし難しい職種だわ。,0,ぽんたさん
2-3,絶対見ないふりにするでしょう。そんなん生き物は自分しか見てない人からこそ選ばれたらしいです。,2,樹宏
2-4,政治家も含め国民が必ずしも射たなければいけないことはない色々抜け道があるはずです、諦めないで,2,金野亡者
2-5,@いも 再度言いますが、あなた様が述べられている政治家はワクチン打たなくてもいいという法律は存在しません。詳細は私が以前投稿し内容をご参照ください。,3,Mustang
2-6,@へのつっぱりはいらんですよ いもさんが言われている政治家はワクチン打たなくてもいいという法案は存在しません。詳細は私が以前投稿している内容ご参照ください。,0,Mustang
2-7,@へのつっぱりはいらんですよ 自分も聞いた話なんで正確な所はわかってないです。,0,いも
2-8,@いも 初めまして私もその話聞いてビックリです💦大体都合の悪い法案が決まる時は北朝鮮のミサイル発射のどさくさに決まるらしいですよ！今も飛んでますよね...しらんけど(笑),5,へのつっぱりはいらんですよ
2-9,政治家ではない一般国民もワクチン接種は強制でも何でもないのにわざわざそんな法律を作るという時点で話の辻褄が合ってないな。,9,0430 Akemi Nakajima
2-10,統計学的に言うなら打った方がいいだろう。格段の配慮をして感染リスクを抑えるならワクチンは要らなくなるが子供にそれを強いるのは酷だ。,4,BT-42
2-11,@名は体を表す 私が述べている予防接種法の「政令で、当該規定ごとに対象者を指定して適用しないこととすることができるものとすること。」について対象者は明確に規定されております。 ・「法附則第七条第二項の規定により適用する法第九条第一項の規定は、妊娠中の者に対しては、適用しない。」・「法附則第七条第二項の規定により適用する法第九条第二項の規定は、前項に規定する者の保護者に対しては、適用しない。」　　上記は「16歳未満の子を持つ保護者には、その子にコロナワクチンを接種させる努力義務がないとの規定。」貴方が言われている「その法律の内容は使い方次第で打たなくても良いって出来ますよ？」は間違いです。納得いかないなければ法律の専門家にも確認ください。,5,Mustang
2-12,多くの医者や政治屋さんたちは知っててやってます。,21,fukuyamahironobu
2-13,@いも マドモアゼル・愛さんが、You Tubeで政治家は接種しなくていい法律を作っていると言われてました。その後調べたら確かに一覧表を見たらありましたが、数日後見れなくなっていました。,36,kimi 0811
2-14,@Mustang さんその法律の内容は使い方次第で打たなくても良いって出来ますよ？先に逃げ道を作ったって事でしょうね。それよりも現実的に厚労省の職員9割は打っていないと情報開示しています。これをどう捉えるか？ですね。,48,名は体を表す
2-15,@joey mayer 政治家はワクチン打たなくてもいいという法律を国民が知らない所で可決したらしいですよ。たぶんですが,47,いも
2-16,国民の接種率は80％なのに医者や政治家は20％未満らしいよ。,105,joey mayer
3,全国に流して欲しい。こういう事もあるよと言う事実,852,Hi-ka 0817,9
3-1,全国に流さないってのがおかしいよね,0,ぽち
3-2,ノセボ効果,1,かわひ
3-3,@歩廊下 君どこにでも現れるけど、誰も論破出来た試しないよね？,12,魂の 薔薇色
3-4,@歩廊下 そもそもファイザーの治験が終了するのが2023/5、モデルナが2023/10って知ってます？人類史上初めて打つのに10年後20年後を考えないのですか？誰も解りませんよ初めてなんですから。,21,PatriotJP
3-5,氷山の一角にしかならない現実です。　勇気を出して　伝えてくれて　有難うございました。　私も　病気を知って欲しい。,23,鈴木里美
4,被害者を一人でも減らすことができますように…勇気ある行動に感謝します。大石さん、CBCの関係者の皆さん、情報発信を本当にありがとうございます。,1305,takako.k,2
4-1,ぜってー涙の「な」の字も出てないだろ,1,孤独じゃない元太
5,嘘ばかりのテレビ報道の中、このチャンネルの凄さに、心から尊敬の気持ちを感じています。尊敬できる大人は少なかったんですね。,1568,SCP-682不死身の爬虫類,13
5-1,ミヤネ屋やひるおびなど地上波全国放送のマスゴミの罪は非常に大きいです。,7,karin1O
5-2,うたすって人は洗脳されてるんだわ,3,イベルメクチン
5-3,猛毒うたしてるんだから。絶対にうたしてはダメ。,4,イベルメクチン
5-4,ここのコメントにあるチラシとは、枠珍のデメリットや危険性を訴えるというチラシですよね。配るの、いいと思います。,5,coco
5-5,@nocturne 私も子どもが害されているのは耐えられない。家族も苦しんでいる😭チラシ配りならやれそうです。私も出来ることから始めたいと思います。,9,おかずっぺ
5-6,私もやりたいです！子どもたちはみんなで守りましょう！無料チラシ申し込んでみます！,9,mi
5-7,@秀兄さん 私も最近チラシ配り始めてみました。Noteのno1kaiさんが無料でくれるので始めやすいです。,8,nocturne
5-8,大石さんありがとうございます。私はチラシ配りを地道にがんばります。みんなもやりませんか？自分に出来ることを。,16,秀兄さん
5-9,此処のコメント欄に工作員いないの不思議子供が絡むとやっぱり苦しくなるのかな,14,麻原彰晃
5-10,←私から学んだ方が早いよ。,2,ちゃこのぶ
5-11,ウソばかり平気で垂れ流す地上波テレビを見なくなって半年、全く困る事はないという事実。,45,/TAKE CHANNELタケチャンネル
5-12,確かに,16,ナイス孝男
5-13,同感,19,烏天狗
6,CBCの動画の中でも、大石さんの動画が圧倒的に再生されているので、日本中で注目されていると思います。他のオールドメディアでは得られない貴重な取材に感謝します。これ以上、子供たちの枠珍被害がなくなりますように。,626,asibagu3,4
