1,素晴らしいですね。私も全くの同感です。打ちたい人は打って、打ちたくない人は打たない。非常にシンプルな事です。,1149,C T,14
1-1,@RaiZ か も し れ な い,0,泣きっ面にオーレンドルフ
1-2,この注射は百害あって一利なしだと思います。💧,11,あかね
1-3,@JT JT やはり、何かを極めた人には、真実を見極める力がおありなんですね😂,8,レインボーママ
1-4,全く同感です。自分の意志を尊重したいだけです、これまでの平常だった時代のように。このプレーヤーはこんなに素晴らしい方だったんだと、ほんとに感動しました！,8,JT JT
1-5,@南方綾鷹 観戦するかもしれないけど軽症の人がワクチンを打っていたら無症状になるかもしれない。それは大きいことだと思う。だから3回目の接種率が高い国の感染者の数が減っていると自分は考えている。,0,RaiZ
1-6,ズボンのチャックを閉めたくない人は閉めない、閉めたい人だけが閉めればいい。,4,動画冒頭の広告は低評価
2,アスリート生命の不利益を承知で、自分の意思を貫き他の人の事も尊重してると思いました。テレビのニュースとは違い、誠実さや、彼の言わんとする事が伝わってきました。正しい情報必要ですね。ありがとうございます。,580,とも,0
3,国の保証が無い、後遺症も自己責任接種しない判断も尊重されるべき,982,鮎川雅人,9
3-1,それが許されないような風潮になりつつあるのが恐ろしいです。義務や強要は憲法違反ですから。,19,リュウ
3-2,@SSFM 様御意👏👏👏,6,里美
3-3,@arigato mori 別に国が頼りない訳では無いぞ。未知のものだったから仕方ないこと,16,info
3-4,まさにこれですよね。しかも、最初にメディアと政府が言ってたメリットが覆りまくってきた現状をみると…冷静に判断したら、打とうと思う方が難しい…(その事実を軽くみてる&知らない方は打つかもしれないけど)国を信じたいけど、肝心の国と厚労省が頼りないというか矛盾した行動してて、信じられない自分がいます。信じさせて欲しいです…本当。,63,arigato mori
3-5,私は彼を尊敬します。流石です。,80,14えっちゃん
3-6,任意のものを因果関係無しですから、堪りませんよ。,76,菅経済破壊担当大臣☑️
4,この人がセルビア人って事をあらためて思いました。強くて正しい判断が出来る成長過程を通って現在に至ったのですね。真のチャンピオンだと思います。日本にはそのような選手はいませんよね。,47,沢口文子,0
5,I totally agree with and support this Mr. Djokovic’s logical statement. He’s responsible and so professional.ジョコヴィッチ選手は論理的で、自分の身体に責任を持ち、信念を貫くプロフェッショナルだ。100%賛同するし今後も応援したい！,267,Monica Sato,1
5-1,神様から頂いている肉體を大切にして愛しんでいられる様に見掛けられます。最高の選手です🤗😻,7,みのりひめ
6,全く正しい。目先の名声より、一生を健康的に過ごせる方が価値がある。,880,髭ひげ,2
6-1,命より大切なものなど、他にはないですよね！この世で生きる限り、まずは命でしょ,4,レインボーママ
6-2,本当にそうですね。人間として至高の存在です。,44,飯田茂樹
7,自分の体が一番大切。アスリートなら特に敏感ですよね。自分なりに調べて打たないと決めた事に対し批判するべきではないと思う。健康が一番だよ。,304,M K,0
8,大人だ。自分で決めた事に対する責任と自由意志。ワクチン接種する自由もしない自由もどちらも認めた方がいい世の中になると思う。,513,yuki yuki,2
8-1,俺も個人の自由だからマスクしないわ。,1,動物虐待は人間の権利
9,長く第一線でやってきた超一流選手は考え方も一流「自分の体について自分で決定するという原則はどんなタイトルよりも大事だからです。」,150,死ぬまで生きていたいものですね,1
9-1,これは末代まで語り継がれる名言だと思う。,4,やまいち
10,立派な意志の持ち主ですね、だからこそ世界一のプレイヤーになれたんでしょう。周囲に流される事は、必ずしも英断とは言えない事を熟知している。彼の思考を支持します。,901,鉄槌雷神,2
10-1,実に素晴らしい。常に少数派は正しいことが多いです。多数派に何を言っても聞かないので放置でいいです。,4,B B
