1,これはＣＢＣさん、番組プロデューサーさん、ディレクターさん、ＡＤさん、大石さん、スタッフさん全員の功績ですね！！！！日本一の番組、テレビ局だと思います。どんなえぐい圧力がかかっても頑張っていただきたい！,1208,インターロイキン10,4
1-1,4️⃣月は、💉人数：⬆️　　　だけでなく💉対象：施設入居者⚛️　開始⚛️：高齢者施設でのクラスター対策として優先されました超高齢者・寝たきりの方も多く、生命力に余力の無い方々への“💉負荷”は最大であったと考えます昨年の変動を、矛盾無く説明可能なのは、【高齢者💉】となります,6,アラジンの前にアラジン無し
2,知らない事は罪である。知ろうとしない事は、もっと深い罪である。,1402,しほる 八雲,32
2-1,無知は罪なり忠告を聞かないは罪なり,2,B B
2-2,こちらも合わせて↓頭が良かろうと頭を使わなければ馬鹿と同じである,2,マツモト
2-3,@zhen M 👌👌👌,0,つちのこ
2-4,@しほる 八雲 様返信有難うございます無知な私勉強になりました,3,keitoku209
2-5,@tanaka akira 私が見たデータは接種済みの方の方が重症化率も高く、感染予防効果は４ヶ月も保たないということでした。どのデータを選択するかで違ってきます。私は基本的に権威を鵜呑みにはしません。２回接種済みが８割に到達した結果が現状です。それでも尚疑問を持たないのですか？重症者ではなく結局感染者数で政府もマスコミも判断しています。インフルエンザは毎年１０００万人ぐらい感染者が出ますが新型コロナは累計で３００万人ぐらいだと思います。まぁ流石に気づき出した人が増えては来ています。,34,リュウ
2-6,@keitoku209 keitoku209様、ありがとうございます！でも、私の考えた言葉ではなくて、船瀬俊介著「ワクチンの罠」からの引用です。ワクチンの歴史が詳しく分かる名著だと思います。,7,しほる 八雲
2-7,しほる八雲様の言葉素晴らしいです同感です,3,keitoku209
2-8,@tanaka akira ２回接種が８割に到達した結果が現状です。これでもまだ疑問を持ちませんか？８割というのは世界の中でも相当高いのにまん延防止の延長や緊急事態宣言が示唆されています。,48,リュウ
2-9,根拠がある情報は調べればいくらでも出ますからね。騙される人は殆どがテレビに頭をやられています。そういう人は新聞はまず読みません。,25,リュウ
2-10,ワクチンなんか打ったことないぞ！,30,yellow green
2-11,横須賀のセクシー元大臣のK によれば日本人の人口を7000万人に減らすまでこの茶番劇をやり通す事を海外から強く、強く命令されているらしいです。だから政治家は心が痛まない。もっと病人を増やせ、老人は早くあの世に旅行してもらえ、これが国の役人の本音だ、後4〜5年は終わらない。,35,Minoru Harada
2-12,子供に打つのは、あほ,45,狂気之兔
2-13,反ワクチンはワクチンの有効性についても目をそらさないで下さいね。,5,tanaka akira
2-14,@レインボーママ とらさんが、親中媚中お縄,2,きちとら
2-15,うちの家族もあほでNHKとSnSとマスゴミを信じて三回ワクチン喜んで打ちましたわたしは、YouTubeしんじてますので絶対うちません,52,きちとら
2-16,@Grigori 社長 www訂正しても間違えてるけどwww適当なことかくなよ,1,キャンつば
2-17,ほんとこれ‼️,23,Aoitori Mame
2-18,その知ろうとしない事をするのが「知事」という皮肉よ,48,zhen M
2-19,バジリスク絆ですね。,12,Gaia
2-20,@ガミちゃん さままったく同感です。真の日本人はどこに。。。,100,bel tono
