1,190人死亡に対しての報道のされ方に問題がある。若い人のコロナにかかった時の死亡率とワクチン接種後の重篤な副反応とおぼしき脳出血とかでの死亡率をちゃんと計算して報道してほしい。高齢者はともかく若い人は打たんでいいでしょ,255,もりのこ,3
1-1,一応ワクチン接種後に亡くなった人数(ワクチンとの因果関係の無いものも含む)と接種者数、コロナ感染者数と死者数は全部データになって厚労省から出てるので、自分で計算すれば分かりますよ。多分リンク貼れないので、「厚生労働省 コロナワクチン 死者数」とかで調べたらPDFで見つかると思います。,3,セローと非公式ワームとだんきち
1-2,だね。そろそろこの騒ぎ終わらせたい,26,バナナパンダパパ。みんなとわいわい系YouTuber
2,わたしもほりえもんさんに賛同していましたが僕の友達は今ワクチンの後遺症で苦しんでいます。身近な人が酷い目にあうのを、想像してください。,54,たつき,0
3,現場で働いていますが、明らかに最近血栓症が増加しています。まさかと思って接種状況確認してみたら打ってる人が多くて、厚生労働省は稀と言ってるけど本当に稀なんでしょうかね…,202,なぶらかたぶら,3
3-1,そういえば井上正康というお医者さんが、コロナウイルスによる風邪のメカニズムについて、血栓を誘発することが原因だって解説されてましたねえ。,17,musya poti
4,ビジネスでは優秀でも医者じゃないんだから安易に勧めないで欲しい。リスクとメリットをキチンと調べて各自しっかり考えて決めましょう！そう言って貰いたい。責任取れんでしょ。,167,kz 750,0
5,堀江さんは是非とも治験ワクチンを接種して治験体となって皆さんに安全を証明して下さい。治験期間のワクチンが効くのであれば是非、ご自身で証明して下さい。期待してます。,37,bmwlife59,0
6,科学者ではないのに何故そのような無責任なことが言えるのですか。科学者でさえ慎重になっているのに。信じられません。,406,yuko,1
6-1,河野大臣と全く同じ姿勢ですね。呆れたもんだ。,59,Sunny
7,堀江さん、わかりました。あなたが言っている逆のことをやればいいのですね。教えてくれてありがとう。,730,na o.,7
7-1,←WHO,1,ちゃこのぶ
7-2,@ガレージウッチー そもそもコロナなんて今弱体化しかないから眼中もねえw,8,Novak Nadal
7-3,接種は自由意思誰のためでもありません。打ちたいひとは打てばいい打ちたいと思わなければ打たなければいい個人的には結果は打っても打たなくても大差ないと思います。,41,ガレージウッチー
7-4,今ではワクチン打たないと行けなくて草,6,ごリラ
7-5,@胡萝思齐 そもそも、怯えてないw,116,m m
8,私の母も打ってから2ヶ月後に心筋梗塞、退院してすぐ、胆嚢炎、またまた退院してすぐ膵臓を悪くして救急で病院を行ったり来たりするようになってしまいました。元気だったのに…。,194,A I,10
8-1,@ああそれな,0,露伴 岸辺
8-2,@MYU MYU 頑張って,0,Qppwpqpwppq
8-3,お見舞い申し上げます。接種によるADEではないでしょうか？,7,takatunex
8-4,胆嚢炎、膵臓悪い、心筋梗塞ってこのみっつって関連性高い病気ですよ　高コレステロールとか生活習慣に大きく関わる病気ですよ,6,y m
8-5,私のばあちゃんも、じいちゃんが死んで寂しくて死んでしまいました。元々体悪かったので。残念です。あっコロナ流行の10年前の話です。,5,レオンM.
8-6,私の知り合いの男性も人生で初めてカップラーメンを食べて2ヶ月後に死亡しました涙,8,登録者数10人につき動画一本投稿
8-7,残念です。元気だったのに。薬も信用出来ないし、免疫力がつくものを全て試して下さい。私の母は、ガンの手術をして体調を悪くしてました。でも、もう、検診には行かないって。ガンも単なる口内炎の様な物じゃないかと世の中を疑ってます。,17,和らしべ
8-8,悪魔がいる。,14,さゆ
8-9,よかったね。おめでとう。,8,ああ
9,長期間後の副作用は誰もがまだわからない事を、他人に勧めれない自分で調べて決断するものだと思う。,76,Yuko,1
9-1,そうですね。私は打ちません、だってニュースの専門家の主張おかしいから、それは隠謀ではなく、事実報道してきた結果ですから。,3,NANO
10,治験中なのにワクチン打ってくださいって誰にも何年後どうなるかわからないのに無責任な事言えますね！,25,陽子 久保,2
10-1,最終治験段階は終わってはいないが。一回の投与で打つ量がどのくらいだと思ってるのか知らないが、たばこや酒や薬物が何年後かの影響を懸念されるのは恒常的に摂取し続けるから起こる現象。数か月おきに三回とか四回打ったら、年単位離した後に後遺症が出るとか核物質でも投与してるつもりだろうか？　化学を勉強しよう,1,オオスギかずま
11,信じるか信じないかは自分次第だけどメディアだけの情報を信じてる人は自分でもっと情報を取り入れた方がいいと思います。,553,naaachi,47
11-1,@そら 数百人？どこかの集会か署名活動の話ですか？,1,musya poti
11-2,@Denver Rorke 議員の摂取率？それはどこ情報？,1,musya poti
11-3,@田中政則 医療従事者を偽る奴が一番タチ悪いよ,2,Denver Rorke
11-4,@E K なんなら去年9月頃に予防接種法改正であいつらだけ抜け道作ってるからね。,2,Denver Rorke
11-5,@田中政則 医療従事者はそんな文面書かないよバレバレで,4,Denver Rorke
11-6,@こけおまんまん 議員らは接種率低いよ,5,Denver Rorke
11-7,@nobuoo tanaka 逆にどこの生命保険会社でも、ワクチン接種したら契約できないなんて話は否定してるんだけど、君の言ってる会社はどこ？,2,musya poti
11-8,@nobuoo tanaka どこの生命保険？,1,musya poti
11-9,@nobuoo tanaka どこの生命保険だよ？,1,musya poti
11-10,はい！テレビだけでなく論文も調べました！その結果、明らかに効果的であることがわかりました！打ってきます！,3,N WO
11-11,なぜメディアは間違ってると思えるのにネットに有象無象が転がした情報を信じこんでしまうんや…,9,ドバラダ者
11-12,その取り入れてる情報も、結局なんらかのメディアでは？,1,musya poti
11-13,@こけおまんまん エリートとは何処の層の事を言ってます？私の知る限りでは打ってる人もいますが、「こぞって打ってる」という空気感はありませんが,3,E K
11-14,@ぼむ まじそれな,1,saku-さく
11-15,@ronronoka 絶対違うでしょ😎,6,裕馬
11-16,@田中政則 医療従事者とは思えない嫌味ったらしいコメントですね。,23,ronronoka
11-17,でも動物実験では5回打った際には死亡率グンと上がったんでしょ？少なくとも安全とは言えないんじゃない？,7,chカーボ
11-18,@LE THC お気の毒に、、、私は医療従事者ですが、系列の病院を含めた全看護師、約5000人全員打って1人も亡くなっておりません、、もしお亡くなりになった友人様をそこにカウントしたならば0.0002%という宝くじで2億円が当選するレベルの奇遇によって亡くなられたと思うと心よりお悔やみ申し上げます,14,田中政則
11-19,@LE THC へーすげー残念だったね（棒）,4,coco chan
11-20,@こけおまんまん 28歳ですが私の友人は持病も無く健康だったのにワクチン接種の翌日に高熱出て悪化し、4日後に亡くなりました。ワクチン接種しろっていう気持ちもわかりますが、打つも打たないも自分で決める事で他人がどうこう言う事ではないかと。身近に感じないと分からないもんですよ,38,LE THC
11-21,@ぼむ 打たなかったせいでのたれ死んでそう,2,ポコ・ポコチン
11-22,@ぼむ デュフwデュフデュフww,4,secret child
11-23,@ぼむ では、エリートたちがこぞって接種しているのは何故？,4,こけおまんまん
11-24,@ぼむ 残念だけど、打ちたくても打てないんだわ。,3,こけおまんまん
11-25,その通りです,2,Tota Amano
11-26,@こけおまんまん これ,8,a
11-27,​@みみみを推していきたい 私がおすすめするのは、基礎医学にあたる、免疫学や遺伝子学の教科書を読むこと。医学教科書は何者の利権や思想に左右されないで事実が書いてある。免疫学の”め”の字も知らない反ワクの人が論理性の欠いたコメントしてるのを見ると義務教育の限界を感じる。,33,お前の言うことは正論だが
11-28,@河田亜那 それな。図書館行って色んな本を読むのもいいし、医療従事者の知人とかに聞いてみるのも良いし。方法はいくらでもある,30,みみみを推していきたい
11-29,反論にぐうの音も出てないの流石に草,5,あーう
11-30,@ジャックブライアン メディアしか情報源なくて草,27,ukkari hatibei
11-31,何でも無料で情報を得ようとするとメディアに操作される。お金を払えば、それなりの情報を得ることができる（新聞やNHKは論外）。,25,河田亜那
11-32,@ジャックブライアン Twitterとかじゃない？爆,17,田中政則
11-33,言ってやったぜって思ってそう,31,先イク夫
11-34,メディア以外でどうやって知るの？w,32,ジャックブライアン
12,『自殺する方います、、』のあと、笑うのは人としておかしい。,10,26番目のM,0
13,悪い事をしても人は忘れると考えているなら本当に酷い話だよ。,102,future six,0
14,ホリエさんはワクチンの効果が無くなったら次を打ちたいって思っている人なんですかね？治験の為に3回でも4回でも何回でも打ってその結果をYouTubeでアップして下さい。,12,Syogun,1
14-1,食塩水打つところみせてくれるだけだよ。,1,Healing Works 〜エネルギー遊び〜
15,ァイザーのCEO自身が「自分はワクチンを打たない」と言ってる時点でお察し,41,なお,1
15-1,Twiterですか？,0,ia ai
16,おまえの大事な人家族皆さんにワクチン勧めてください、お願いします。,23,yuuhiko oosima,0
17,普段、他人の事なんてどーっでもいい人が何故にワクチンに関してだけは、世のため人の為なんていうの？不思議。,550,おっ っちゃん,9
17-1,確かに確かに！八女の奴はおかしいな(^^),3,junchan -n
17-2,@望月園子 おめ！,1,Pianistになりますとりま。
17-3,他人の幸せなんて考えない人だから言えるんですよ。整合性取れてます。笑,10,望月園子
17-4,@ああ 子宮頚がんも推進ですもんねー馬鹿や足手まといは視界にいれたくないってメンタルだし、打ってほしいんじゃない？,8,こぴこ
17-5,宣伝してんですよ笑,24,ああ
17-6,自分の為なら何でもする人、それがホリエモンだからですね（笑）,38,mourit1
17-7,規模の問題でもあるし自分の身近な人に迷惑をかけないためでもある。,3,socialmovementer
