1,うちの親は、3回目接種後、帯状疱疹に…食欲不振、強度の腰痛で、ほぼ寝たきりです。体調不良の人がたくさんいることを、もっとメディアで取り上げてほしいです。,772,Rieチップ,40
1-1,@黒豆17 ニューっす。。,0,渡部博之
1-2,@rosafoetida14 専門家の圧力と言うか、そもそもそういうことをすれば、自分たちが今までやってきたことが間違っていたと認めることになるからねその辺の腰が引けてるんじゃないの？今までの事が間違っていたとすれば、そのことでまた叩かれるからね,0,美音子
1-3,@なめたけ 今世の中に起きている現象の論理矛盾を自分なりに理屈をつけて納得しているのでしょうが、恐らく自己矛盾を感じながらも自分を納得させようと努力されているのでしょう。大所高所より、より多面的に再考し論理矛盾を一つ一つ見つめなおしてみましょう。直感を大事に。,0,黒豆17
1-4,@N maimai 私は2回めうったあと3ヶ月後くらいにコロナにかかってしまい元々腰痛でしたが更に悪化しているなぁと思います😣コロナにかかる前に帯状疱疹にかかってその後コロナで痛み止めは欠かせないです😭,0,みずちゃん
1-5,だよねぇさすがですぅ^o^キリン🦒ですぅううううううwww,0,包み焼きハンバーグ
1-6,へーい！ちちちちっぱんでーーーる早く！夢をチップあんでーーーーる^o^,0,包み焼きハンバーグ
1-7,やべぇさすがに面白くて吹いたwww,0,包み焼きハンバーグ
1-8,@黒豆17 あっ黒豆まめまめ黒豆まめまめ黒豆食べてみろ^o^www,0,包み焼きハンバーグ
1-9,@rosafoetida14 あっまめ？あっまめ？豆祭り^o^あっ耳？あっ耳👂耳祭り👂^o^,0,包み焼きハンバーグ
1-10,私も　帯状疱疹になりました！　ワクチンから少し経っていましたが　疲れていたわけでもなく　なる様な体調では無かった　皮膚科の先生が最近すごく増えているとその時言ってたので〜　ワクチンの影響では？とずっと疑っていました。報道を見て『やっぱり』と腑に落ちました。　3回目のワクチン怖くて打てません・・・帯状疱疹の痕はとても深くどんな薬を使っても　消えません。,5,みみたぷぅ
1-11,@N maimai 有難うございます、助かりました。😀,1,noboru igarashi
1-12,@noboru igarashi お役に立てたようでよかったです、同じ職場の方、良くなりますように😊,1,N maimai
1-13,@kunio 無性に腹が立ちますね、研究をしてないなんて片手落ちですね。無性に腹が立ちますね。打て打て詐欺ですね。😡,10,noboru igarashi
1-14,ある動画をみましたがこの様な事の研究をしてる公的機関は無いそうです。無責任ですね。,8,kunio
1-15,@N maimai 私と一緒に仕事をしてる人も首から手の中指が調子悪いそうです．あなたの投稿を見てワクチンの副作用を考えました、本人に言ってみます。有難うございます。😀,8,noboru igarashi
1-16,はじめましてワクチン後に脊髄炎になる方が多いようです。症状はぎっくり腰や強い腰痛ですので、一度検査を受けてみられることをオススメしますm(_ _)m,12,N maimai
1-17,@ワグナス 今後も免疫を付けて頑張りましょう。😀😃😄😁,8,noboru igarashi
1-18,@noboru igarashi 私も同様です。最悪、国家に強制されれば打ちますが「あくまでも自己責任」である以上、不要なものを身体にはいれたくありませんしね。,13,ワグナス
1-19,@黒豆17 私は兄弟からもなぜ打たないのかと変人扱いされましたよ。😀私はアレルギーもありますが、ある程度強制されると私は天邪鬼だから反発してしまうし、ましてユウチュウブでワクチンに否定的な報道は消されるし。腹が立ちますよ、言論の自由が無いのかとね。日本もロシアとか中国と変わらないじゃないかとね。悲しくなりますよ。😂,25,noboru igarashi
1-20,主なメディアは全てひとごろしわくちんをうたせているてろせいりょくにコントロールされていますから、ひがいのじったいをくわしくつたえることはありません。,19,Alexandre Benois
1-21,免疫力が落ちると発症する帯状疱疹は、ワクチンで一時的に免疫力が低下するタイミングで発症したんでしょうね。※帯状疱疹は、過去に水疱瘡になった事がある人が発症します。過去の水疱瘡が完治せず隠れていた方のみ発症します。ワクチンじゃなくても過労や寝不足等でも発症します。親御さん心配ですね、早くよくなりますように,41,お金かからない系女子
1-22,@rosafoetida14 そして彼らの懐はホクホク、尾身ちゃんは300億円のコロナ補助金成金帝王、今だけ金だけ自分だけ、何たるあさましさでしょう。,94,黒豆17
1-23,@黒豆17 なら今からでも、指定感染症2類相当から解除して、一般感染症5類に分類し直すのが普通。今までそれをなぜしなかったのかと言えば、よりによって専門家らの圧力があったからなのは想像に難くないです。,66,rosafoetida14
1-24,岸田総理が「2類から5類へ決断」というニューっすが出てきました。欧米同様に、風邪相当への対応にすべきと気づいている方が増えてきました。一日も早く制度の弊害を解消出来るよう皆で声を上げましょう。,76,黒豆17
2,毛髪が抜ける人も多いですよね。歩けなくなる人も居る。未だに知らない人が多い中、こういうお医者さんや、それを伝えてくれる報道機関は貴重。他のメディアは恥ずかしくなきんだろうかと思う。,431,satoko,2
2-1,血、栓が出来て毛根の毛細血管が詰まりそれで抜けてしまうらしいですね😅,3,小林祥晴
3,自分は受験生だったのでワクチン2回接種したのですが、普通の副反応も出たものの接種１週間後くらいに体調が悪くなってしまい今も約7ヶ月間ずっと悩まされてます。受験もできず卒業式もまともに出れず、とても悲しかったです。他に自分と同じように苦しまれている方々が気軽に相談できる場所が増えてくれたらなと思います。,209,llol lllo,9
3-1,今の御時世、簡単に手に入る情報、簡単に与えられる情報は信じない事です。平和ボケしてると吞まれますよ。,0,日本第一党・参政党・れいわ新選組・つばさの党・新党くにもり・アシタノワダイ党　を当方注目してます
3-2,@good life 様まぁ個人的にはなかとみ様の意見もわかります。静止してもいんぼうろんじゃだのやまとQだのと言ってバカにする人間も多いですからね。ただこの打たれた方もまだ社会の右も左もわからない事を考えると酷な気もしますが。,1,日本第一党・参政党・れいわ新選組・つばさの党・新党くにもり・アシタノワダイ党　を当方注目してます
3-3,@なかとみひとし 意思決定の半分以上を大人と社会に任せざるを得ない子供だよ？なんでそんなこと言えるのか、、、,4,good life
3-4,@good life 回復する訳ないだろ笑。こんな布社会に加担したんだから苦しみ抜けばいいんだよ笑👍,3,なかとみひとし
3-5,大丈夫、必ず回復するから！,5,good life
3-6,お大事にしてください。はやく、よくなることを祈ります。,11,Rieチップ
4,1日も早く日本国民が間違った現実に気がついてほしいですね。こんな状況でも尚国民に打たせようとする日本政府は何を考えているのか,862,なす あげ,25
4-1,もう気が付かない人は気が付かず、静止の声をヤマトQだのいんぼうろんじゃだの言うわけですので、打ち続けてボロボロになれば良いと思いますよ。,1,日本第一党・参政党・れいわ新選組・つばさの党・新党くにもり・アシタノワダイ党　を当方注目してます
4-2,そうですね親からもらった大切な体です。,4,鮭いくら
4-3,@リヒリヒト さん永遠の様子見で行きましょう❗もしくは、打たない方の治験に参加しましょう👍,3,小林祥晴
4-4,@rosafoetida14 私も同感です。神々のバチが当たります。,5,VEGAマリン
