1,いつも素晴らしい報道をありがとうございます！！　　将来、いろいろ明らかになった時に、このような報道をしてこなかった局には責任を取ってほしいです。国民も怒るべきであり、むしろ訴えても良いと思う。,496,C T,22
1-1,@hiromi k. さんへあれえ、気付きませんか。私が最初に工作員がいるとコメントした時の工作員のコメントが消えてますよ。四面楚歌の状態だから、不味いと思って、自分で消したのかな？確か２つ消してる筈なんです。,2,H M
1-2,@hiromi k. それくらい自分で調べて下さい。まず臨床医のツイートフォローしてください。現場は悲惨だから。,0,ta fun
1-3,@ta fun 打つ打たないは個人の自由です。打ったからではなく、打たない人を非難したり、打つように強要する人は工作員だと言っている。賛成派は打たないと言うと大抵非難し責める。あなたも何気にすり替えて私を非難してるでしょう。そう言うところですよ。打つ派の傲慢さ。苛め体質。私は打つのが【嫌な人は】と言っている。打ちたい人は好きなだけ打てば良い。打つなとは言ってません。4回5回6回とエンドレスで打ってください。予想では多分エンドレス。枠珍複数回打っても、感染して亡くなってる人は⁉️どうしてか教えて。納得いく説明求む。,8,hiromi k.
1-4,​ @hiromi k.  ワクチンすすめる世界中の国家が工作員だねｗ,6,Socks _Cat
1-5,@hiromi k. ワクチン打ったけど工作員じゃないよ。大人の8割が工作員なの？,1,ta fun
1-6,@ta fun 何処の国の人でも、枠珍賛成派はだいたい工作員。嫌な人は自分の意志を曲げないで、断固拒否しましょう。,7,hiromi k.
1-7,皆さんご注意❗工作員がこのコメント欄に紛れ込みましたよ。言論統制を目的とする彼らにとっては、一般の人間とコメントの応酬をする事自体が仕事になる。だから、相手したら駄目ですよ。コメント名からすると、中国人かな。,7,H M
1-8,@gebai さんへこの情報拡散したいなあ。どこで国会審議に関する事は見られるの？,2,H M
1-9,@gebai 同志　『2年使って被害が多ければ止める』？莫迦も休み休み言ってもらいたいものですね。被害が多発した時点で、たとえ1年以内でも止めるべきでしょう。政府はコロナ騒動を終わらせようという気が本当にないのです！,19,rosafoetida14
1-10,@rosafoetida14 今更、③回目とのコマーシャル見て呆れる。ロシアが～と騒いでるウチに効きそうと思ったら、治験終わらなくても緊急承認出来る法案を通そうとしてるとは、そして、2年使って被害が多ければ止めるというふざけた内容だ。政府も国民をまだまだ追い込みたいらしい。自分ら厚労省は2割以下なのに自分の身は自分で守るしかない,16,gebai
1-11,@おいも 同志　ここで諦めたら負けです。日本医師会など、ワクチン接種をゴリ押しした専門家らを刑事告訴することも辞さない厳しい姿勢が求められます。,28,rosafoetida14
1-12,@おいも 様負けるな！己を通せ。自己責任。誰があなたを守ってくれるのですか？何かあったら費用は自費。私たち、只で治験させられているのだよ。(｀Δ´),26,14えっちゃん
1-13,@すぷらー 会社で、すっごい辛いのよ・・・,14,おいも
1-14,@おいも よくわかる。,17,すぷらー
1-15,打ってしまった人に、もう何も言えない雰囲気がある・・・,42,おいも
1-16,木原弁護士と南出弁護士が国を告訴していますよ,88,P M
2,CBCさん、圧力に負けないで正しい情報を放送して下さりありがとうございます♫,460,まるまがり,0
3,うちの会社小さいけど社長がワクチンの危険性をよく理解していて助かったよｗありがとう社長！！,180,ゆう太,8
3-1,すごく慎重な社長さんで良かったですね！,6,Bear
3-2,@Socks _Cat 流石です。笑コロナ後遺症の中にワクチンを打っててのコロナ後遺症も含まれている訳でコロナ後遺症のリスクがワクチンのベネフィットとはならないので今回の動画は、少し選択肢に疑問をもちました,10,むへへちゃん
3-3,@むへへちゃん 打ってないわｗ,14,Socks _Cat
3-4,社長グッジョブ！,48,とんとらおか
4,同じ様な接種率の国で比べるだけではなく、接種率の低い（ブースター接種を行っていない）国の情報も上げた方が良いかと思います。いかにワクチン接種が意味ない、更に言えば接種を進める程感染が広がるか！分かると思います。宜しくお願いします。,359,ピエロピエロ,23
4-1,@万物流転 様特に急ぎの事ではありませんが、、できれば何かしらのお返事を頂きたいです。大石さん報道の、韓国感染爆発の場所において⁉️～私が、フクヤマ氏に返答コメント等々において、私がツイッターで得た情報等々を伝えているコメント内容を貴方様は、～ご覧可能な状態(見る事が出来ている)でしょうか❓️(相手側にコメントが届いていても、本文にはコメントが出ていない場合もあり得ます。また、相手にコメントが届かないように削除される場合もあり得ます。)★567関係、ワ◯◯◯のリスク等々、使用する言葉を工夫して伝えないと動画やコメント等々は、強制削除されてしまいます。,0,K N
4-2,@fukuyamahironobu 様ご返事ありがとうございます。リスクを知らないまま、ワ◯◯◯をして～命や健康を失う人達が増えて行くのが悲しく辛いです。😭★リスクを知るための手掛かりを伝えても、気がつくきっかけとならない～冷たい返答等々をされたりもします。被害者が出ている事が、国会で取り沙汰される事が多くなったりすれば～全国放送テレビも報道の変化となり人々の意識も変わるのでしょうが、、。政府が悪い事を勧めたりしないと信じこんでいます。テレビに出ている医師の、重症化しないのでメリットがあります。との話しだけを信じこんでいます。辛い副反応が3日間ぐらいあるかもしれませんが、、メリットがあります。(その事で、しゃちさんは酷い状態だったのに～様子を見てと言われてしまった事もあり、手当て受けるチャンスも失い、、永眠～)旅行キャンペーンに、ワ◯◯◯3回で特典あります。～だなんて、、ひどい話しです。安全性が低いワ◯◯◯なのに😭★輸血の血液の事だって、、過去にも薬害関係が色々とあった事なのに～。年配者や高齢者の中には、サリドマイド薬害の事を記憶している場合があるはずです。はなおかせいしゅう(ひらがな表記ですみません)、、の妻という小説での～ドラマや映画は、昔々からあります。てっとりばやい説明としては、(そうぜつな)麻酔薬の開発物語です。何かのきっかけで、洗脳に風穴を開けられる場合があります。とりあえずの～私の少しの情報ですが活用して下さい。★ツイッターの話しを見ました～奥さんが、ワ◯◯◯危険だと旦那さんに話していても、接種していたそうですが～最近になって、、旦那さんが、もうしないと言ったそうです。何かしらを見たり聞いた事で考えが変わったと思う、、ほっとしました～。との話しでした。★心を休める事にも注意しながら、、地道に出来る少しの事だけでも～と思っています。⭐何か有益な情報がありましたら、教えて下さい。,0,K N
